filtering_low,filtering_high,joining,sorting,agregating,grouping,filter_low_pandas,filtering_high_pandas,join_pandas,sort_pandas,agregate_pandas,grouping_pandas,query,pandas_query,iteration,time
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",1,0.23152685165405273
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",2,0.2728264331817627
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",3,0.23224496841430664
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",4,0.4850883483886719
True,False,True,True,False,True,True,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",0,0.251375675201416
True,False,True,True,False,True,True,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",1,0.3408052921295166
True,False,True,True,False,True,True,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",2,0.19716334342956543
True,False,True,True,False,True,True,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",3,0.2377793788909912
True,False,True,True,False,True,True,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",4,0.2910158634185791
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",0,0.13088536262512207
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",1,0.11246037483215332
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",2,0.08313965797424316
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",3,0.1565694808959961
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",4,0.11674213409423828
True,False,True,True,False,True,True,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING'}",0,0.05204153060913086
True,False,True,True,False,True,True,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING'}",1,0.06198310852050781
True,False,True,True,False,True,True,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING'}",2,0.0696253776550293
True,False,True,True,False,True,True,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING'}",3,0.07076454162597656
True,False,True,True,False,True,True,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING'}",4,0.08711123466491699
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'GROUPING'}",0,0.27532124519348145
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'GROUPING'}",1,0.2757265567779541
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'GROUPING'}",2,0.2679896354675293
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'GROUPING'}",3,0.29713940620422363
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'GROUPING'}",4,0.26120591163635254
True,False,True,True,False,True,True,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'FILTER_LOW'},0,0.10790586471557617
True,False,True,True,False,True,True,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'FILTER_LOW'},1,0.10761332511901855
True,False,True,True,False,True,True,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'FILTER_LOW'},2,0.1329796314239502
True,False,True,True,False,True,True,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'FILTER_LOW'},3,0.10807061195373535
True,False,True,True,False,True,True,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'FILTER_LOW'},4,0.11162424087524414
True,False,True,True,False,True,False,False,True,True,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN', 'GROUPING'}",0,0.06853675842285156
True,False,True,True,False,True,False,False,True,True,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN', 'GROUPING'}",1,0.0651860237121582
True,False,True,True,False,True,False,False,True,True,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN', 'GROUPING'}",2,0.05819869041442871
True,False,True,True,False,True,False,False,True,True,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN', 'GROUPING'}",3,0.05456948280334473
True,False,True,True,False,True,False,False,True,True,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN', 'GROUPING'}",4,0.05403900146484375
True,False,True,True,False,True,False,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,"{'SORTING', 'JOIN'}",0,0.07317185401916504
True,False,True,True,False,True,False,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,"{'SORTING', 'JOIN'}",1,0.06183004379272461
True,False,True,True,False,True,False,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,"{'SORTING', 'JOIN'}",2,0.05122518539428711
True,False,True,True,False,True,False,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,"{'SORTING', 'JOIN'}",3,0.06466221809387207
True,False,True,True,False,True,False,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,"{'SORTING', 'JOIN'}",4,0.06332111358642578
True,False,True,True,False,True,False,False,True,False,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,"{'JOIN', 'GROUPING'}",0,0.0692284107208252
True,False,True,True,False,True,False,False,True,False,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,"{'JOIN', 'GROUPING'}",1,0.06922650337219238
True,False,True,True,False,True,False,False,True,False,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,"{'JOIN', 'GROUPING'}",2,0.06860613822937012
True,False,True,True,False,True,False,False,True,False,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,"{'JOIN', 'GROUPING'}",3,0.07132244110107422
True,False,True,True,False,True,False,False,True,False,False,True,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,"{'JOIN', 'GROUPING'}",4,0.07084250450134277
True,False,True,True,False,True,False,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'JOIN'},0,0.051392555236816406
True,False,True,True,False,True,False,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'JOIN'},1,0.05144834518432617
True,False,True,True,False,True,False,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'JOIN'},2,0.05066323280334473
True,False,True,True,False,True,False,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'JOIN'},3,0.058182477951049805
True,False,True,True,False,True,False,False,True,False,False,False,SELECT img1_table.img_name FROM img1_table WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,{'JOIN'},4,0.04864954948425293
True,False,True,True,False,True,False,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'GROUPING'}",0,0.013849973678588867
True,False,True,True,False,True,False,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'GROUPING'}",1,0.03137993812561035
True,False,True,True,False,True,False,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'GROUPING'}",2,0.015196561813354492
True,False,True,True,False,True,False,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'GROUPING'}",3,0.012095451354980469
True,False,True,True,False,True,False,False,False,True,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'GROUPING'}",4,0.011511802673339844
True,False,True,True,False,True,False,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,{'SORTING'},0,0.013203620910644531
True,False,True,True,False,True,False,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,{'SORTING'},1,0.0072841644287109375
True,False,True,True,False,True,False,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,{'SORTING'},2,0.008568286895751953
True,False,True,True,False,True,False,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,{'SORTING'},3,0.009125232696533203
True,False,True,True,False,True,False,False,False,True,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ;,{'SORTING'},4,0.006835460662841797
True,False,True,True,False,True,False,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'GROUPING'},0,0.01879262924194336
True,False,True,True,False,True,False,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'GROUPING'},1,0.013584136962890625
True,False,True,True,False,True,False,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'GROUPING'},2,0.011849403381347656
True,False,True,True,False,True,False,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'GROUPING'},3,0.011861801147460938
True,False,True,True,False,True,False,False,False,False,False,True,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'GROUPING'},4,0.02459573745727539
True,False,True,True,False,True,False,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,set(),0,0.009221076965332031
True,False,True,True,False,True,False,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,set(),1,0.007546663284301758
True,False,True,True,False,True,False,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,set(),2,0.006375551223754883
True,False,True,True,False,True,False,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,set(),3,0.006872653961181641
True,False,True,True,False,True,False,False,False,False,False,False,SELECT img1_table.img_name FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' GROUP BY img1_table.img_name ORDER BY img1_table.img_name ;,set(),4,0.010349750518798828
True,False,True,True,False,False,True,False,True,True,False,False,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",0,0.08276772499084473
True,False,True,True,False,False,True,False,True,True,False,False,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",1,0.09933233261108398
True,False,True,True,False,False,True,False,True,True,False,False,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",2,0.09003758430480957
True,False,True,True,False,False,True,False,True,True,False,False,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",3,0.08252835273742676
True,False,True,True,False,False,True,False,True,True,False,False,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",4,0.0920264720916748
True,False,True,True,False,False,True,False,True,False,False,False,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",0,0.1608424186706543
True,False,True,True,False,False,True,False,True,False,False,False,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",1,0.1566941738128662
True,False,True,True,False,False,True,False,True,False,False,False,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",2,0.1712944507598877
True,False,True,True,False,False,True,False,True,False,False,False,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",3,0.18578767776489258
True,False,True,True,False,False,True,False,True,False,False,False,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN'}",4,0.15235638618469238
True,False,True,True,False,False,True,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING'}",0,0.06246066093444824
True,False,True,True,False,False,True,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING'}",1,0.06657195091247559
True,False,True,True,False,False,True,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING'}",2,0.06548357009887695
True,False,True,True,False,False,True,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING'}",3,0.068756103515625
True,False,True,True,False,False,True,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ;,"{'FILTER_LOW', 'SORTING'}",4,0.0671548843383789
True,False,True,True,False,False,True,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,{'FILTER_LOW'},0,0.18101954460144043
True,False,True,True,False,False,True,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,{'FILTER_LOW'},1,0.15264034271240234
True,False,True,True,False,False,True,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,{'FILTER_LOW'},2,0.18411660194396973
True,False,True,True,False,False,True,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,{'FILTER_LOW'},3,0.14707517623901367
True,False,True,True,False,False,True,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means ORDER BY img1_table.img_name ;,{'FILTER_LOW'},4,0.16146087646484375
True,False,True,True,False,False,False,False,True,True,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN'}",0,0.052345991134643555
True,False,True,True,False,False,False,False,True,True,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN'}",1,0.05376172065734863
True,False,True,True,False,False,False,False,True,True,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN'}",2,0.054007768630981445
True,False,True,True,False,False,False,False,True,True,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN'}",3,0.06106925010681152
True,False,True,True,False,False,False,False,True,True,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ;,"{'SORTING', 'JOIN'}",4,0.04881930351257324
True,False,True,True,False,False,False,False,True,False,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'JOIN'},0,0.0488739013671875
True,False,True,True,False,False,False,False,True,False,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'JOIN'},1,0.046983957290649414
True,False,True,True,False,False,False,False,True,False,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'JOIN'},2,0.054369211196899414
True,False,True,True,False,False,False,False,True,False,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'JOIN'},3,0.0527188777923584
True,False,True,True,False,False,False,False,True,False,False,False,SELECT * FROM img1_table WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,{'JOIN'},4,0.05202078819274902
True,False,True,True,False,False,False,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,{'SORTING'},0,0.009815216064453125
True,False,True,True,False,False,False,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,{'SORTING'},1,0.007576704025268555
True,False,True,True,False,False,False,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,{'SORTING'},2,0.009998083114624023
True,False,True,True,False,False,False,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,{'SORTING'},3,0.007035255432128906
True,False,True,True,False,False,False,False,False,True,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ;,{'SORTING'},4,0.006639003753662109
True,False,True,True,False,False,False,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,set(),0,0.00796055793762207
True,False,True,True,False,False,False,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,set(),1,0.006331443786621094
True,False,True,True,False,False,False,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,set(),2,0.0055768489837646484
True,False,True,True,False,False,False,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,set(),3,0.013057708740234375
True,False,True,True,False,False,False,False,False,False,False,False,SELECT * FROM img1_table JOIN positions_means ON img1_table.img_name = positions_means.img_name_means WHERE img1_table.img_name = '0-0-0-0' ORDER BY img1_table.img_name ;,set(),4,0.006366729736328125
True,False,True,False,True,True,True,False,True,False,True,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN', 'GROUPING'}",0,0.07546472549438477
True,False,True,False,True,True,True,False,True,False,True,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN', 'GROUPING'}",1,0.0713498592376709
True,False,True,False,True,True,True,False,True,False,True,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN', 'GROUPING'}",2,0.07848262786865234
True,False,True,False,True,True,True,False,True,False,True,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN', 'GROUPING'}",3,0.0801553726196289
True,False,True,False,True,True,True,False,True,False,True,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN', 'GROUPING'}",4,0.07313251495361328
True,False,True,False,True,True,True,False,True,False,True,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN'}",0,0.07929539680480957
True,False,True,False,True,True,True,False,True,False,True,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN'}",1,0.06864762306213379
True,False,True,False,True,True,True,False,True,False,True,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN'}",2,0.07268595695495605
True,False,True,False,True,True,True,False,True,False,True,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN'}",3,0.11107850074768066
True,False,True,False,True,True,True,False,True,False,True,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'AGREGGATE', 'JOIN'}",4,0.10106897354125977
